Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Lista;;Obrigatório;;;1;N;"";Não permitido;array;;
/data/type;type;Tipo de movimentação na visão de investimento (entrada ou saída).;Texto;;Obrigatório;;"ENTRADA 
SAÍDA";1;1;"";Não permitido;string;ENTRADA;
/data/transactionType;transactionType;Aplicação, resgate, cancelamento, vencimento, pagamento de juros/amortização, transferência de titularidade, transferência de custódia;Texto;;Obrigatório;;"APLICACAO 
RESGATE 
CANCELAMENTO 
VENCIMENTO 
PAGAMENTO_JUROS_AMORTIZACAO 
TRANSFERENCIA_TITULARIDADE 
TRANSFERENCIA_CUSTODIA 
OUTROS";1;1;"";Não permitido;string;APLICACAO;
/data/typeAdditionalInfo;typeAdditionalInfo;"Informação adicional do tipo de movimentação, para preenchimento no caso de movimentações não delimitadas no domínio.

Campo a ser preenchido pelas participantes quando o campo ""transactionType"" for preenchido de forma diferente de ""OUTROS""
";Texto;100;Opcional;[\w\W\s]*;;0;1;"";Não permitido;string;;
/data/transactionDate;transactionDate;Data da movimentação.;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2018-02-15;10
/data/transactionUnitePrice;transactionUnitePrice;Preço unitário bruto negociado na transação.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/transactionUnitePrice/amount;amount;;Texto;23;Obrigatório;^-?\d{1,15}\.\d{2,6}$;;1;1;"";Não permitido;string;1000.000004;
/data/transactionUnitePrice/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;3;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL;
/data/transactionQuantity;transactionQuantity;Quantidade de títulos envolvidos na movimentação.;Texto;25;Obrigatório;^\d{1,15}\.\d{2,9}$;;1;1;"";Não permitido;string;42.25;
/data/transactionGrossValue;transactionGrossValue;Valor bruto da transação (Preço unitário da movimentação x Quantidade).;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/transactionGrossValue/amount;amount;;Texto;23;Obrigatório;^-?\d{1,15}\.\d{2,6}$;;1;1;"";Não permitido;string;1000.000004;
/data/transactionGrossValue/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;3;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL;
/data/incomeTax;incomeTax;Valor do imposto de renda recolhido na transação.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/incomeTax/amount;amount;;Texto;23;Obrigatório;^-?\d{1,15}\.\d{2,6}$;;1;1;"";Não permitido;string;1000.000004;
/data/incomeTax/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;3;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL;
/data/financialTransactionTax;financialTransactionTax;Valor do IOF recolhido na transação.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/financialTransactionTax/amount;amount;;Texto;23;Obrigatório;^-?\d{1,15}\.\d{2,6}$;;1;1;"";Não permitido;string;1000.000004;
/data/financialTransactionTax/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;3;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL;
/data/transactionNetValue;transactionNetValue;Valor líquido da transação.;Objeto;;Opcional;;;0;1;"";Não permitido;object;;
/data/transactionNetValue/amount;amount;;Texto;23;Obrigatório;^-?\d{1,15}\.\d{2,6}$;;1;1;"";Não permitido;string;1000.000004;
/data/transactionNetValue/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;3;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL;
/data/TransactionRate;TransactionRate;"Taxa de remuneração da transação.

Campo a ser preenchido pelas participantes quando o campo ‘Indexador’ for preenchido de forma diferente de ""PRE_FIXADO""
";Texto;8;Opcional;^\d{1}\.\d{1,6}$;;0;1;"";Não permitido;string;0.300000;3
/data/IndexerPercentage;IndexerPercentage;"Percentual máximo do indexador acordado com o cliente na contratação.

Campo a ser preenchido pelas participantes quando o campo ‘Indexador’ for preenchido de forma diferente de ""PRE_FIXADO""
";Texto;8;Opcional;^\d{1}\.\d{1,6}$;;0;1;"";Não permitido;string;1.100000;3
/data/transactionId;transactionId;Código ou identificador único prestado pela instituição que mantém a representação individual do movimento.;Texto;100;Obrigatório;^[a-zA-Z0-9][a-zA-Z0-9-]{0,99}$;;1;1;"";Não permitido;string;ABCD2126019929279212650822221989319253344;
