Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/brand;brand;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/brand/name;name;Nome da Instituição, pertencente à marca, responsável pela comercialização dos produtos e serviços;Texto;80;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Organização A;
/data/brand/companies;companies;Companies traz uma lista de todas as instituições da Marca;Lista;;Obrigatório;;;1;700;"";Não permitido;array;;
/data/brand/companies/businessAccounts;businessAccounts;lista de tipos de conta;Lista;;Opcional;;;1;3;"";Não permitido;array;;
/data/brand/companies/businessAccounts/type;type;"Tipos de contas ofertadas para pessoa natural ou jurídica, p.ex. 'CONTA_DEPOSITO_A_VISTA'.
Conta de depósito à vista ou Conta corrente - é o tipo mais comum. Nela, o dinheiro fica à sua disposição para ser sacado a qualquer momento. Essa conta não gera rendimentos para o depositante
Conta poupança - foi criada para estimular as pessoas a pouparem. O dinheiro que ficar na conta por trinta dias passa a gerar rendimentos, com isenção de imposto de renda para quem declara. Ou seja, o dinheiro “cresce” (rende) enquanto ficar guardado na conta. Cada depósito terá rendimentos de mês em mês, sempre no dia do mês em que o dinheiro tiver sido depositado
Conta de pagamento pré-paga: segundo CIRCULAR Nº 3.680, BCB de  2013, é a 'destinada à execução de transações de pagamento em moeda eletrônica realizadas com base em fundos denominados em reais previamente aportados'
";Texto;;Obrigatório;;"CONTA_DEPOSITO_A_VISTA 
CONTA_POUPANCA 
CONTA_PAGAMENTO_PRE_PAGA";1;1;"";Não permitido;string;CONTA_DEPOSITO_A_VISTA;
/data/brand/companies/businessAccounts/fees;fees;Objeto que reúne informações de tarifas de serviços;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/brand/companies/businessAccounts/fees/services;services;Lista das Tarifas cobradas sobre Serviços;Lista;;Obrigatório;;;1;200;"";Não permitido;array;;
/data/brand/companies/businessAccounts/fees/services/name;name;Nome do Serviço que incide sobre tipo de conta selecionado para pessoa jurídica(Campo Livre);Texto;250;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Evento personalizado;
/data/brand/companies/businessAccounts/fees/services/code;code;Sigla de identificação de Outros Serviços que incidem sobre os tipos de contas informados.;Texto;100;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;EVENTO_PERSONALIZADO;
