Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/brand;brand;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/brand/name;name;Nome da Marca selecionada pelas Organizações;Texto;80;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Organização A;
/data/brand/companies;companies;Lista de instituições pertencentes à marga;Lista;;Obrigatório;;;1;N;"";Não permitido;array;;
/data/brand/companies/name;name;Nome da Instituição, pertencente à marca, responsável pela modalidade de Empréstimos. p.ex.'Empresa da Organização A';Texto;80;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Empresa A1;
/data/brand/companies/cnpjNumber;cnpjNumber;CNPJ;Texto;14;Obrigatório;^(\d{14})$|^NA$;;1;1;"";Não permitido;string;50685362000135;
/data/brand/companies/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços. Endereço eletrônico de acesso ao canal. Será obrigatoriamente preenchido se houver lista complementar com os nomes e CNPJs a ser disponibilizada.
Restrição: Será obrigatorimente preenchido se houver lista complementar com os nomes e CNPJs a ser disponibilizada
";Texto;1024;Opcional;[\w\W\s]*;;0;1;"";Não permitido;string;https://empresadaorganizacaoa.com/complementarylist;
/data/brand/companies/businessFinancings;businessFinancings;Lista de financiamentos;Lista;;Obrigatório;;;1;9;"";Não permitido;array;;
/data/brand/companies/businessFinancings/type;type;Modalidades de financiamentos ofertados para pessoas jurídicas, conforme Circular 4015-Bacen. Segundo cartilha do Bacen: Financiamento é um contrato entre o cliente e uma instituição financeira, mas com, destinação específica como para a aquisição de veículo ou de bem imóvel, que funcionam como garantia para o crédito concedido;Texto;;Obrigatório;;"FINANCIAMENTO_AQUISICAO_BENS_VEICULOS_AUTOMOTORES 
FINANCIAMENTO_AQUISICAO_BENS_OUTROS_BENS 
FINANCIAMENTO_MICROCREDITO 
FINANCIAMENTO_RURAL_CUSTEIO 
FINANCIAMENTO_RURAL_INVESTIMENTO 
FINANCIAMENTO_RURAL_COMERCIALIZACAO 
FINANCIAMENTO_RURAL_INDUSTRIALIZACAO 
FINANCIAMENTO_IMOBILIARIO_SISTEMA_FINANCEIRO_HABITACAO_SFH 
FINANCIAMENTO_IMOBILIARIO_SISTEMA_FINANCEIRO_HABITACAO_SFI";1;1;"";Não permitido;string;FINANCIAMENTO_AQUISICAO_BENS_VEICULOS_AUTOMOTORES;
/data/brand/companies/businessFinancings/fees;fees;Objeto que reúne informações de tarifas de serviços;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
