Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/requestTime;requestTime;Data e hora que as métricas foram requisitadas.;Date Hora;;Obrigatório;;;1;1;"";Não permitido;string;;
/data/availability;availability;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/availability/uptime;uptime;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/availability/uptime/generalUptimeRate;generalUptimeRate;Taxa de disponibilidade (considerando todos os serviços ativos ao mesmo tempo).;Texto;;Obrigatório;;;1;1;"";Não permitido;string;;
/data/availability/uptime/endpoints;endpoints;Tempos de uptime por endpoint.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/availability/uptime/endpoints/url;url;URL do endpoint;Texto;;Obrigatório;;;1;1;"";Não permitido;string;;
/data/availability/uptime/endpoints/uptimeRate;uptimeRate;Taxa de disponibilidade do endpoint.;Texto;;Obrigatório;;;1;1;"";Não permitido;string;;
/data/availability/downtime;downtime;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/availability/downtime/generalDowntime;generalDowntime;Quantidade de segundos de downtime (considerando qualquer api em downtime).;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/availability/downtime/scheduledOutage;scheduledOutage;Quantidade de segundos de indisponibilidade agendada.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/availability/downtime/endpoints;endpoints;Tempos de downtime por endpoint.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/availability/downtime/endpoints/url;url;URL do endpoint;Texto;;Obrigatório;;;1;1;"";Não permitido;string;;
/data/availability/downtime/endpoints/partialDowntime;partialDowntime;Quantidade de segundos de indisponibilidade do endpoint.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/invocations;invocations;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/invocations/unauthenticated;unauthenticated;Número de chamadas não autenticadas.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/invocations/unauthenticated/currentDay;currentDay;Número de chamadas não autenticadas no dia atual.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/invocations/unauthenticated/previousDays;previousDays;Número de chamadas não autenticadas nos dias anteriores. O primeiro item do array é referente a ontem, e assim por diante. Devem ser retornados no máximo sete dias caso estejam disponíveis.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;;
/data/invocations/highPriority;highPriority;Número de chamadas para o nível de alta prioridade.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/invocations/highPriority/currentDay;currentDay;Número de chamadas no dia atual para o nível de alta prioridade.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/invocations/highPriority/previousDays;previousDays;Número de chamadas nos dias anteriores para o nível de alta prioridade. O primeiro item do array é referente a ontem, e assim por diante. Devem ser retornados no máximo sete dias caso estejam disponíveis.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;;
/data/invocations/mediumPriority;mediumPriority;Número de chamadas para o nível de média prioridade.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/invocations/mediumPriority/currentDay;currentDay;Número de chamadas no dia atual para o nível de média prioridade.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/invocations/mediumPriority/previousDays;previousDays;Número de chamadas nos dias anteriores para o nível de média prioridade. O primeiro item do array é referente a ontem, e assim por diante. Devem ser retornados no máximo sete dias caso estejam disponíveis.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;;
/data/invocations/unattended;unattended;Número de chamadas para o nível não acompanhado.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/invocations/unattended/currentDay;currentDay;Número de chamadas no dia atual para o nível não acompanhado.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/invocations/unattended/previousDays;previousDays;Número de chamadas nos dias anteriores para o nível não acompanhado. O primeiro item do array é referente a ontem, e assim por diante. Devem ser retornados no máximo sete dias caso estejam disponíveis.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;;
/data/averageResponse;averageResponse;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/averageResponse/unauthenticated;unauthenticated;Tempo médio de resposta para chamadas não autenticadas.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/averageResponse/unauthenticated/currentDay;currentDay;Tempo médio de resposta em milissegundos para chamadas no dia atual.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/averageResponse/unauthenticated/previousDays;previousDays;Tempo médio de resposta em milissegundos para chamadas nos dias anteriores. O primeiro item do array é referente a ontem, e assim por diante. Devem ser retornados no máximo sete dias caso estejam disponíveis.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;;
/data/averageResponse/highPriority;highPriority;Tempo médio de resposta de chamadas para o nível de alta prioridade.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/averageResponse/highPriority/currentDay;currentDay;Tempo médio de resposta em milissegundos para chamadas no dia atual.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/averageResponse/highPriority/previousDays;previousDays;Tempo médio de resposta em milissegundos para chamadas nos dias anteriores. O primeiro item do array é referente a ontem, e assim por diante. Devem ser retornados no máximo sete dias caso estejam disponíveis.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;;
