Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Obrigatório por Regulação;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Lista;;Obrigatório;Opcional;;;1;N;"";Não permitido;array;;
/data/participant;participant;;Objeto;;Opcional;Opcional;;;0;1;"";Não permitido;object;;
/data/participant/brand;brand;Nome da Marca reportada pelo participante do Open Finance. O conceito a que se refere a 'marca' utilizada está em definição pelos participantes.;Texto;80;Obrigatório;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;1;1;"";Não permitido;string;Marca A;
/data/participant/name;name;Nome da Instituição, pertencente à organização, responsável pelo Canal Telefônico.;Texto;80;Obrigatório;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;1;1;"";Não permitido;string;Empresa da Marca A;
/data/participant/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição;Texto;14;Obrigatório;Obrigatório;^(\d{14})$|^NA$;;1;1;"";Não permitido;string;50685362000135;
/data/participant/urlComplementaryList;urlComplementaryList;;Texto;1024;Opcional;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;https://example.com/mobile-banking;
/data/identification;identification;;Objeto;;Obrigatório;Opcional;;;1;1;"";Não permitido;object;;
/data/identification/type;type;" Tipo de canal telefônico de atendimento: 
* `CENTRAL_TELEFONICA` 
* `SAC` 
* `OUVIDORIA` 
* `OUTROS`";Texto;;Obrigatório;Obrigatório;;"CENTRAL_TELEFONICA 
SAC 
OUVIDORIA 
OUTROS";1;1;"";Não permitido;string;OUVIDORIA;
/data/identification/additionalInfo;additionalInfo;"Campo de texto livre para descrever informações complementateres sobre canais telefônicos. De preenchimento obrigatório quando o tipo de canal de atendimento telefônico selecionado for ""OUTROS""";Texto;300;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;;
/data/identification/phones;phones;Lista de telefones do Canal de Atendimento;Lista;;Opcional;Opcional;;;1;N;"";Não permitido;array;;
/data/identification/phones/countryCallingCode;countryCallingCode;Número de DDI (Discagem Direta Internacional) para telefone de acesso ao Canal - se houver.;Texto;4;Obrigatório;Obrigatório;^\d{1,4}$|^NA$;;1;1;"";Não permitido;string;55;
/data/identification/phones/areaCode;areaCode;Número de DDD (Discagem Direta à Distância) para telefone de acesso ao Canal - se houver.;Texto;2;Obrigatório;Obrigatório;^\d{2}$|^NA$;;1;1;"";Não permitido;string;19;
/data/identification/phones/number;number;Número de telefone de acesso ao canal.;Texto;13;Obrigatório;Obrigatório;^([0-9]{8,11})$|^NA$;;1;1;"";Não permitido;string;08007787788;
/data/identification/phones/additionalInfo;additionalInfo;;Texto;300;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Mensagem complementar necessária para o agrupamento da identificação do telefone.;
/data/services;services;Traz a relação de serviços disponbilizados pelo Canal de Atendimento;Lista;;Obrigatório;Opcional;;;1;N;"";Não permitido;array;;
/data/services/name;name;Nome dos Serviços efetivamente prestados pelo Canal de Atendimento;Texto;;Obrigatório;Obrigatório;;"ABERTURA_CONTAS_DEPOSITOS_OU_PAGAMENTO_PRE_PAGA 
SAQUE_MOEDA_EM_ESPECIE 
RECEBIMENTOS_PAGAMENTOS_QUALQUER_NATUREZA 
TRANSFERENCIAS_ELETRONICAS_VISANDO_MOVIMENTACAO_CONTAS_DEPOSITOS_OU_PAGAMENTO_TITULARIDADE_CLIENTES 
CONSULTA_SALDOS_EXTRATOS_CONTAS_DEPOSITOS_CONTAS_PAGAMENTOS 
APLICACOES_RESGATES_INVESTIMENTOS 
EXECUCAO_ATIVA_PASSIVA_ORDENS_PAGAMENTO_SOLICITACAO_CLIENTES_USUARIOS 
DEPOSITOS_MOEDA_ESPECIE_CHEQUE 
OPERACOES_CREDITO_BEM_COMO_OUTROS_SERVICOS_PRESTADOS_ACOMPANHAMENTO_OPERACAO 
CARTAO_CREDITO 
SEGUROS 
OPERACOES_ARRENDAMENTO_MERCANTIL 
ABERTURA_CONTA_PAGAMENTO_POS_PAGA 
COMPRA_VENDA_MOEDA_ESTRANGEIRA_ESPECIE 
COMPRA_VENDA_CHEQUE_CHEQUE_VIAGEM_BEM_COMO_CARGA_MOEDA_ESTRANGEIRA_CARTAO_PRE_PAGO 
COMPRA_VENDA_OURO 
OUTROS_PRODUTOS_SERVICOS 
CANCELAMENTO 
INFORMACOES 
RECLAMACOES";1;1;"";Não permitido;string;;
/data/services/code;code;Código dos Serviços efetivamente prestados pelo Canal de Atendimento;Texto;;Obrigatório;Obrigatório;;"ABRE_CONTA_DEPOSITO_OU_PRE_PAGA 
SAQUE_MOEDA_ESPECIE 
RECEBE_PAGA_QUALQUER_NATUREZA 
TRANSFERENCIAS_ELETRONICAS_MOVIMENTA_CONTAS_DEPOSITOS_OU_PAGTO_TITULARES_CLIENTES 
CONSULTA_SALDOS_EXTRATOS_CONTAS_DEPOSITOS_PAGTOS 
APLICA_RESGATA_INVESTIMENTOS 
EXECUCAO_ATIVA_PASSIVA_ORDENS_PAGTO 
DEPOSITO_MOEDA_ESPECIE_CHEQUE 
OPERA_CREDITO_OUTROS_SERVICOS_ACOMPANHA_OPERACAO 
CARTAO_CREDITO 
SEGUROS 
OPERA_ARRENDAMENTO_MERCANTIL 
ABERTURA_CONTA_PAGAMENTO_POS_PAGA 
COMPRA_VENDA_MOEDA_ESTRANGEIRA_ESPECIE 
COMPRA_VENDA_CHEQUE_CHEQUE_VIAGEM_CARGA_MOEDA_ESTRANGEIRA_CARTAO_PRE_PAGO 
COMPRA_VENDA_OURO 
OUTROS_PRODUTOS_SERVICOS 
CANCELAMENTO 
INFORMACOES 
RECLAMACOES";1;1;"";Não permitido;string;;
/data/services/additionalInfo;additionalInfo;Texto livre para complementar informação relativa ao Serviço disponível, quando for selecionada a opção 'OUTROS_PRODUTOS_SERVICOS';Texto;2000;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;"";
