Xpath,Nome,Definição,Tipo de Dado,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Nulidade,Tipo de Dado Json,Exemplo,Tamanho mínimo
/contracts/{contractId}/payments/data/paidInstalments,,Quantidade total de parcelas pagas do contrato referente à Modalidade de Crédito informada.,number,,Opcional,,,,,,Não permitido,number,73,
/contracts/{contractId}/payments/data/contractOutstandingBalance,,Valor necessário para o cliente liquidar a dívida.,string,20,Opcional,double,,,,,Não permitido,string,1000.0400,4
/contracts/{contractId}/payments/data/releases/paymentId,,Código ou identificador único prestado pela instituição para representar o pagamento individual.,string,100,Opcional,,,,,,Não permitido,string,XlthLXpBLVowLTldW2EtekEtWjAtOVwtXXswLDk5fSQ,1
/contracts/{contractId}/payments/data/releases/isOverParcelPayment,,Identifica se é um pagamento pactuado (false) ou avulso (true).,boolean,,Opcional,,,,,,Não permitido,boolean,true,
/contracts/{contractId}/payments/data/releases/instalmentId,,"Identificador de parcela, de responsabilidade de cada Instituição transmissora.  
[Restrição] Informação de envio obrigatório quando isOverParcelPayment tiver o valor FALSE.
",string,100,Opcional,,,,,,Não permitido,string,WGx0aExYcEJMVm93TFRsZFcyRXRla0V0V2pBdE9Wd3RYWH,1
/contracts/{contractId}/payments/data/releases/paidDate,,"Data efetiva do pagamento referente ao contrato da modalidade de crédito consultada, conforme especificação RFC-3339. p.ex. 2014-03-19",string,10,Opcional,date,,,,,Não permitido,string,2021-05-21,
/contracts/{contractId}/payments/data/releases/currency,,"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. 'BRL'.
Todos os valores monetários informados estão representados com a moeda vigente do Brasil.
",string,3,Opcional,,,,,,Não permitido,string,BRL,
/contracts/{contractId}/payments/data/releases/paidAmount,,"Valor do pagamento referente ao  contrato da modalidade de crédito consultada.
Expresso em valor monetário com no mínimo 2 casas e no máximo 4 casas decimais.
",string,21,Opcional,double,,,,,Não permitido,string,1000.0400,4
/contracts/{contractId}/payments/data/releases/overParcel/fees/feeName,,"Denominação da Tarifa pactuada.
",string,140,Opcional,,,,,,Não permitido,string,Reavaliação periódica do bem,
/contracts/{contractId}/payments/data/releases/overParcel/fees/feeCode,,"Sigla identificadora da tarifa pactuada.
",string,140,Opcional,,,,,,Não permitido,string,aval_bem,
/contracts/{contractId}/payments/data/releases/overParcel/fees/feeAmount,,"Valor monetário da tarifa pactuada no contrato.

Expresso em valor monetário com no mínimo 2 casas e no máximo 4 casas decimais.
",string,21,Opcional,,,,,,Não permitido,string,100000.0400,4
/contracts/{contractId}/payments/data/releases/overParcel/charges/chargeType,,Tipo de encargo pactuado no contrato.,string,,Opcional,,"JUROS_REMUNERATORIOS_POR_ATRASO, MULTA_ATRASO_PAGAMENTO, JUROS_MORA_ATRASO, IOF_CONTRATACAO, IOF_POR_ATRASO, SEM_ENCARGO, OUTROS",,,,Não permitido,string,JUROS_REMUNERATORIOS_POR_ATRASO,
/contracts/{contractId}/payments/data/releases/overParcel/charges/chargeAdditionalInfo,,"Campo livre para preenchimento das informações adicionais referente ao encargo.

[Restrição] Obrigatório quando chargeType for igual 'OUTROS'.
",string,140,Opcional,,,,,,Não permitido,string,Informações adicionais,
/contracts/{contractId}/payments/data/releases/overParcel/charges/chargeAmount,,Valor do pagamento do encargo pago fora da parcela. Expresso em valor monetário com no mínimo 2 casas e no máximo 4 casas decimais.,string,21,Opcional,double,,,,,Não permitido,string,1000.0400,4
/contracts/{contractId}/payments/data/lastUpdatedcontractOutstandingBalanceDateTime,,"Data e hora da última atualização do valor do campo contractOutstandingBalance, conforme especificação RFC-3339, formato UTC. [Restrição] O envio do campo será obrigatório para CPC (campo “productSubTypeCategory” preenchido com CREDITO_PESSOAL_CLEAN).
",string,20,Opcional,date-time,,,,,Não permitido,string,2021-05-21T08:30:00Z,20
/contracts/{contractId}/payments/links/self,,URI completo que gerou a resposta atual.,string,2000,Opcional,url,,,,,Não permitido,string,https://api.banco.com.br/open-banking/api/v1/resource,
/contracts/{contractId}/payments/links/first,,URI da primeira página que originou essa lista de resultados. Restrição - Obrigatório quando não for a primeira página da resposta,string,2000,Opcional,url,,,,,Não permitido,string,https://api.banco.com.br/open-banking/api/v1/resource,
/contracts/{contractId}/payments/links/prev,,URI da página anterior dessa lista de resultados. Restrição - 	Obrigatório quando não for a primeira página da resposta,string,2000,Opcional,url,,,,,Não permitido,string,https://api.banco.com.br/open-banking/api/v1/resource,
/contracts/{contractId}/payments/links/next,,URI da próxima página dessa lista de resultados. Restrição - Obrigatório quando não for a última página da resposta,string,2000,Opcional,url,,,,,Não permitido,string,https://api.banco.com.br/open-banking/api/v1/resource,
/contracts/{contractId}/payments/links/last,,URI da última página dessa lista de resultados. Restrição - Obrigatório quando não for a última página da resposta,string,2000,Opcional,url,,,,,Não permitido,string,https://api.banco.com.br/open-banking/api/v1/resource,
/contracts/{contractId}/payments/meta/totalRecords,,Número total de registros no resultado,integer,,Opcional,int32,,,,,Não permitido,integer,1,
/contracts/{contractId}/payments/meta/totalPages,,Número total de páginas no resultado,integer,,Opcional,int32,,,,,Não permitido,integer,1,
/contracts/{contractId}/payments/meta/requestDateTime,,"Data e hora da consulta, conforme especificação RFC-3339, formato UTC.",string,20,Opcional,date-time,,,,,Não permitido,string,2021-05-21T08:30:00Z,
