Xpath,Nome,Definição,Tipo de Dado,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Nulidade,Tipo de Dado Json,Exemplo,Tamanho mínimo
/contracts/{contractId}/data/contractNumber,,Número do contrato dado pela instituição contratante.,string,100,Opcional,,,,,,Não permitido,string,1324926521496,1
/contracts/{contractId}/data/ipocCode,,"Número padronizado do contrato - IPOC (Identificação Padronizada da Operação de Crédito). Segundo DOC 3040, composta por:
- **CNPJ da instituição:** 8 (oito) posições iniciais;
- **Modalidade da operação:** 4 (quatro) posições;
- **Tipo do cliente:** 1 (uma) posição( 1 = pessoa natural - CPF, 2= pessoa jurídica – CNPJ, 3 = pessoa física no exterior, 4 = pessoa jurídica no exterior, 5 = pessoa natural sem CPF e 6 = pessoa jurídica sem CNPJ);
- **Código do cliente:** O número de posições varia conforme o tipo do cliente:
  1. Para clientes pessoa física com CPF (tipo de cliente = 1), informar as 11 (onze) posições do CPF;
  2. Para clientes pessoa jurídica com CNPJ (tipo de cliente = 2), informar as 8 (oito) posições iniciais do CNPJ;
  3. Para os demais clientes (tipos de cliente 3, 4, 5 e 6), informar 14 (catorze) posições com complemento de zeros à esquerda se a identificação tiver tamanho inferior;
- **Código do contrato:** 1 (uma) até 40 (quarenta) posições, sem complemento de caracteres.
",string,67,Opcional,,,,,,Não permitido,string,92792126019929279212650822221989319252576,22
/contracts/{contractId}/data/productName,,"Denominação/Identificação do nome da Modalidade da Operação de Crédito divulgado ao cliente
",string,140,Opcional,,,,,,Não permitido,string,Crédito Pessoal Consignado,
/contracts/{contractId}/data/productType,,"Tipo da modalidade de crédito contratada, conforme  circular 4.015 e descrição do DOC3040 do SCR).",string,,Opcional,,EMPRESTIMOS,,,,Não permitido,string,EMPRESTIMOS,
/contracts/{contractId}/data/productSubType,,"Sub tipo da modalidades de crédito Empréstimos contratadas, conforme  circular 4.015 e descrição do DOC3040 do SCR).",string,,Opcional,,"HOME_EQUITY, CHEQUE_ESPECIAL, CONTA_GARANTIDA, CAPITAL_GIRO_TETO_ROTATIVO, CREDITO_PESSOAL_SEM_CONSIGNACAO, CREDITO_PESSOAL_COM_CONSIGNACAO, MICROCREDITO_PRODUTIVO_ORIENTADO, CAPITAL_GIRO_PRAZO_VENCIMENTO_ATE_365_DIAS, CAPITAL_GIRO_PRAZO_VENCIMENTO_SUPERIOR_365_DIAS",,,,Não permitido,string,CREDITO_PESSOAL_COM_CONSIGNACAO,
/contracts/{contractId}/data/productSubTypeCategory,,"Categoria para classificação específica relacionada com a submodalidade do produto. Atenção: o preenchimento com o enum CREDITO_PESSOAL_CLEAN, quando aplicável, será obrigatório à partir da publicação da versão 2.4.0 da API Empréstimos, já o enum CONSIGNADO_SIAPE passará a ser de envio obrigatório em data posterior. Demais submodalidades devem ser classificadas na opção OUTROS
",string,,Opcional,,"CREDITO_PESSOAL_CLEAN, CONSIGNADO_SIAPE, OUTRO",,,,Não permitido,string,CREDITO_PESSOAL_CLEAN,
/contracts/{contractId}/data/contractDate,,Data de contratação da operação de crédito. Especificação RFC-3339,string,10,Opcional,date,,,,,Não permitido,string,2018-01-05,
/contracts/{contractId}/data/settlementDate,,"Data de liquidação da operação.
",string,10,Opcional,date,,,,,Não permitido,string,2018-01-15,
/contracts/{contractId}/data/contractAmount,,"Valor contratado da operação. Expresso em valor monetário com no mínimo 2 casas e no máximo 4 casas decimais. Nos casos em que não houver este valor explícito no contrato do produto, enviar como 0.00",string,20,Opcional,double,,,,,Não permitido,string,1000.0400,4
/contracts/{contractId}/data/currency,,"Moeda referente ao valor da garantia, segundo modelo ISO-4217. p.ex. 'BRL'
Todos os valores monetários informados estão representados com a moeda vigente do Brasil
",string,3,Opcional,,,,,,Não permitido,string,BRL,
/contracts/{contractId}/data/dueDate,,"Data do último vencimento da operação, seguindo a especificação RFC-3339.
Informação deve ser enviada caso ela exista. Especialmente para contratos repactuados, deve-se alterar a data para a do último vencimento.
",string,10,Opcional,date,,,,,Não permitido,string,2028-01-15,2
/contracts/{contractId}/data/instalmentPeriodicity,,"""Informação relativa à periodicidade regular das parcelas. (Vide Enum)
sem periodicidade regular, semanal, quinzenal, mensal, bimestral, trimestral, semestral, anual""
",string,,Opcional,,"SEM_PERIODICIDADE_REGULAR, SEMANAL, QUINZENAL, MENSAL, BIMESTRAL, TRIMESTRAL, SEMESTRAL, ANUAL, OUTROS",,,,Não permitido,string,SEMANAL,
/contracts/{contractId}/data/instalmentPeriodicityAdditionalInfo,,"Campo obrigatório para complementar a informação relativa à periodicidade de pagamento regular quando tiver a opção OUTROS.
",string,50,Opcional,,,,,,Não permitido,string,Informações adicionais sobre periodicidade,
/contracts/{contractId}/data/firstInstalmentDueDate,,"Data de vencimento primeira parcela do principal.
Informação deve ser enviada caso ela exista.
",string,10,Opcional,date,,,,,Não permitido,string,2018-02-15,
/contracts/{contractId}/data/CET,,"CET – Custo Efetivo Total deve ser expresso na forma de taxa percentual anual e incorpora todos os encargos e despesas incidentes nas operações de crédito (taxa de juro, mas também tarifas, tributos, seguros e outras despesas cobradas).

O preenchimento deve respeitar as 6 casas decimais, mesmo que venham preenchidas com zeros (representação de porcentagem p.ex: 0.150000. Este valor representa 15%. O valor 1 representa 100%).

Para o público PF (pessoa física) o campo é de envio obrigatório para contratos firmados a partir de 2008, conforme Resolução CMN 3.517. Para o público PJ (pessoa jurídica) o campo é de envio obrigatório para contratos firmados a partir de 2011, conforme Resolução CMN 3.909. O campo poderá ser preenchido com 0.00 em cenários nos quais a casa não tenha a informação de CET (Custo efetivo total) apenas para as exceções listadas abaixo: 

- Em contratos anteriores a 2008 (para o público PF); 
- Em contratos anteriores a 2011 (para o público PJ); 
- Público PJ de médio ou grande porte. 
",string,13,Opcional,double,,,,,Não permitido,string,0.290000,8
/contracts/{contractId}/data/amortizationScheduled,,"Sistema de amortização (Vide Enum):
- SAC (Sistema de Amortização Constante) - É aquele em que o valor da amortização permanece igual até o final. Os juros cobrados sobre o parcelamento não entram nesta conta.
- PRICE (Sistema Francês de Amortização) - As parcelas são fixas do início ao fim do contrato. Ou seja, todas as parcelas terão o mesmo valor, desde a primeira até a última. Nos primeiros pagamentos, a maior parte do valor da prestação corresponde aos juros. Ao longo do tempo, a taxa de juros vai decrescendo. Como o valor da prestação é fixo, com o passar das parcelas, o valor de amortização vai aumentando.
- SAM (Sistema de Amortização Misto) - Cada prestação (pagamento) é a média aritmética das prestações respectivas no Sistemas Price e no Sistema de Amortização Constante (SAC).
- SEM SISTEMA DE AMORTIZAÇÃO
",string,,Opcional,,"SAC, PRICE, SAM, SEM_SISTEMA_AMORTIZACAO, OUTROS",,,,Não permitido,string,SAC,
/contracts/{contractId}/data/amortizationScheduledAdditionalInfo,,"Campo obrigatório para complementar a informação relativa à amortização quando selecionada a opção OUTROS.
",string,200,Opcional,,,,,,Não permitido,string,Informações complementares relativa à amortização do tipo 'OUTROS',
/contracts/{contractId}/data/cnpjConsignee,,"CNPJ do consignante (CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica). 

Deve-se ter apenas os números do CNPJ, sem máscara. 

[Restrição] Informação adicional específica para quando o productSubType for igual a CREDITO_PESSOAL_COM_CONSIGNACAO
",string,14,Opcional,,,,,,Não permitido,string,60500998000135,
/contracts/{contractId}/data/interestRates/taxType,,"""Tipo de Taxa (vide  Enum)
- NOMINAL (taxa nominal é uma taxa de juros em que a unidade referencial não coincide com a unidade de tempo da capitalização. Ela é sempre fornecida em termos anuais, e seus períodos de capitalização podem ser diários, mensais, trimestrais ou semestrais. p.ex. Uma taxa de 12% ao ano com capitalização mensal)
- EFETIVA (É a taxa de juros em que a unidade referencial coincide com a unidade de tempo da capitalização. Como as unidades de medida de tempo da taxa de juros e dos períodos de capitalização são iguais, usa-se exemplos simples como 1% ao mês, 60% ao ano)""
",string,,Opcional,,"NOMINAL, EFETIVA",,,,Não permitido,string,EFETIVA,
/contracts/{contractId}/data/interestRates/interestRateType,,"""Tipo de Juros  (vide  Enum)
- SIMPLES (aplicada/cobrada sempre sobre o capital inicial, que é o valor emprestado/investido. Não há cobrança de juros sobre juros acumulados no(s) período(s) anterior(es). Exemplo: em um empréstimo de R$1.000, com taxa de juros simples de 8% a.a., com duração de 2 anos, o total de juros será R$80 no primeiro ano e R$ 80 no segundo ano. Ao final do contrato, o tomador irá devolver o principal e os juros simples de cada ano: R$1.000+R$80+R$80=R$1.160)
- COMPOSTO (para cada período do contrato (diário, mensal, anual etc.), há um “novo capital” para a cobrança da taxa de juros contratada. Esse “novo capital” é a soma do capital e do juro cobrado no período anterior. Exemplo: em um empréstimo de R$1.000, com taxa de juros composta de 8% a.a., com duração de 2 anos, o total de juros será R$80 no primeiro ano. No segundo ano, os juros vão ser somados ao capital (R$1.000 + R$ 80 = R$ 1.080), resultando em juros de R$ 86 (8%de R$ 1.080))""
",string,,Opcional,,"SIMPLES, COMPOSTO",,,,Não permitido,string,SIMPLES,
/contracts/{contractId}/data/interestRates/taxPeriodicity,,"""Periodicidade da taxa . (Vide  Enum)
a.m - ao mês
a.a. - ao ano""
",string,,Opcional,,"AM, AA",,,,Não permitido,string,AA,
/contracts/{contractId}/data/interestRates/calculation,,Base de cálculo,string,,Opcional,,"21/252, 30/360, 30/365",,,,Não permitido,string,21/252,
/contracts/{contractId}/data/interestRates/referentialRateIndexerType,,"""Tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040""
",string,,Opcional,,"SEM_TIPO_INDEXADOR, PRE_FIXADO, POS_FIXADO, FLUTUANTES, INDICES_PRECOS, CREDITO_RURAL, OUTROS_INDEXADORES",,,,Não permitido,string,PRE_FIXADO,
/contracts/{contractId}/data/interestRates/referentialRateIndexerSubType,,"""Sub tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040.

[Restrição] Caso no campo postFixedRate seja informado um valor aplicável ao contrato, o envio deste campo será obrigatório.""
",string,,Opcional,,"SEM_SUB_TIPO_INDEXADOR, PRE_FIXADO, TR_TBF, TJLP, LIBOR, TLP, OUTRAS_TAXAS_POS_FIXADAS, CDI, SELIC, OUTRAS_TAXAS_FLUTUANTES, IGPM, IPCA, IPCC, OUTROS_INDICES_PRECO, TCR_PRE, TCR_POS, TRFC_PRE, TRFC_POS, OUTROS_INDEXADORES",,,,Não permitido,string,TJLP,
/contracts/{contractId}/data/interestRates/referentialRateIndexerAdditionalInfo,,"Campo livre para complementar a informação relativa ao Tipo de taxa referencial ou indexador.
[Restrição] Obrigatório para complementar a informação relativa ao Tipo de taxa referencial ou indexador, quando selecionada o tipo ou subtipo OUTRO.
",string,140,Opcional,,,,,,Não permitido,string,Informações adicionais,
/contracts/{contractId}/data/interestRates/preFixedRate,,"Taxa pré fixada aplicada sob o contrato da modalidade crédito. p.ex. 0.014500. O preenchimento deve respeitar as 6 casas decimais, mesmo que venham preenchidas com zeros(representação de porcentagem p.ex: 0.150000. Este valor representa 15%. O valor 1 representa 100%). Preencher o campo não aplicável ao contrato com zeros, seguindo o pattern (0.000000).
",string,9,Opcional,double,,,,,Não permitido,string,0.600000,8
/contracts/{contractId}/data/interestRates/postFixedRate,,"Taxa pós fixada aplicada sob o contrato da modalidade crédito. p.ex. 0.0045 .O preenchimento deve respeitar as 6 casas decimais, mesmo que venham preenchidas com zeros (representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%). Preencher o campo não aplicável ao contrato com zeros, seguindo o pattern (0.000000). Para taxas pós fixadas necessário informar o indexador (campo referentialRateIndexerSubType).
",string,9,Opcional,double,,,,,Não permitido,string,0.550000,8
/contracts/{contractId}/data/interestRates/additionalInfo,,"Texto com informações adicionais sobre a composição das taxas de juros pactuadas. 

[Restrição] Caso a instituição possua a informação para compartilhamento, esta deverá ser informada.
",string,1200,Opcional,,,,,,Não permitido,string,Informações adicionais,
/contracts/{contractId}/data/contractedFees/feeName,,Denominação da Tarifa pactuada,string,140,Opcional,,,,,,Não permitido,string,Renovação de cadastro,
